y_test,predicted_prob_rf,predicted_prob_xgboost
0,0.26810802,0.250106871
0,0.124700122,0.08955849
0,0.125770813,0.12626256
0,0.1667001,0.125787109
0,0.134139128,0.134391829
0,0.061391099,0.056787729
0,0.2131235,0.188223198
0,0.070012882,0.092295401
1,0.559539684,0.685252964
1,0.41424399,0.368729502
0,0.104698824,0.108656168
0,0.428224439,0.395105183
0,0.169937849,0.158823997
1,0.19273491,0.361452788
0,0.023735066,0.07639268
0,0.248226901,0.305212438
0,0.040817703,0.050910857
1,0.376234191,0.429871231
0,0.083130185,0.085331142
0,0.184650145,0.177795276
0,0.064686626,0.097524025
1,0.309365822,0.283138394
1,0.233324817,0.152129292
0,0.015669975,0.026802856
0,0.115987043,0.099145748
0,0.167205538,0.201195076
1,0.058572255,0.057542525
0,0.178040612,0.167439893
0,0.329051681,0.305532396
0,0.044541005,0.0440876
0,0.273459065,0.33697927
0,0.306347056,0.311913282
0,0.211519495,0.219274879
0,0.083160262,0.062089756
0,0.024407642,0.038569681
0,0.078914368,0.093632206
0,0.079385653,0.066653103
0,0.125833533,0.09248931
0,0.131977325,0.168841556
0,0.026664413,0.042531755
0,0.098227919,0.136959285
0,0.048407492,0.039234236
0,0.324842483,0.153287753
0,0.012431503,0.029724201
1,0.119475906,0.11038623
0,0.13219997,0.177493006
0,0.016878457,0.020046247
0,0.054252811,0.040816322
0,0.157140021,0.067740977
0,0.110373609,0.115030542
0,0.075540761,0.08751338
1,0.551668458,0.501525939
0,0.133061126,0.10115099
0,0.371979653,0.414283663
0,0.176375595,0.130432442
0,0.045485581,0.055340383
0,0.05598941,0.064065762
0,0.017237067,0.02139492
0,0.112933233,0.077008307
0,0.047428433,0.071884759
0,0.051477794,0.057673655
0,0.150399714,0.145980775
0,0.160503827,0.108847387
0,0.222040359,0.243919864
0,0.038502738,0.057194408
0,0.30771946,0.284253299
1,0.180451229,0.143164247
0,0.040778642,0.055977166
0,0.137600261,0.157217324
0,0.077034661,0.089685202
0,0.067546389,0.091698349
0,0.319897851,0.277258605
0,0.095650635,0.059135057
1,0.613523737,0.773527145
0,0.024575494,0.042175151
0,0.133052681,0.159219116
0,0.106537397,0.118785106
0,0.043274717,0.05568777
1,0.123864901,0.135265455
0,0.400669435,0.334936023
1,0.356985679,0.470993221
0,0.123805078,0.145999238
0,0.021487184,0.053583849
0,0.066285785,0.1004503
0,0.330592202,0.34516719
0,0.403728188,0.331504583
0,0.25838374,0.218844563
0,0.018010915,0.029580735
0,0.097841295,0.120655052
0,0.486934677,0.492855281
0,0.185243719,0.183476582
0,0.111729697,0.059129443
0,0.285919091,0.369573742
0,0.233821856,0.213976696
0,0.254294983,0.261210501
1,0.255621193,0.177364081
1,0.193979382,0.136228651
0,0.14529434,0.114181936
0,0.226869837,0.169227272
0,0.223007377,0.261086047
0,0.009635077,0.017089266
0,0.273210702,0.210554212
0,0.308977835,0.282042921
0,0.10028698,0.056342695
0,0.239712274,0.127181947
0,0.258658603,0.324899077
0,0.099647807,0.140767917
0,0.051234722,0.067324534
0,0.197618434,0.208871365
1,0.176125565,0.077978514
0,0.053988116,0.0863325
0,0.043907898,0.07401
1,0.238498046,0.174722433
0,0.220640062,0.222947687
0,0.032818748,0.063886896
1,0.088196598,0.059129443
0,0.131267063,0.201765865
0,0.056686461,0.07071691
0,0.154203122,0.188241959
0,0.179546953,0.167853355
0,0.019357026,0.037904579
1,0.185503115,0.147506833
0,0.226841192,0.174955681
0,0.539947875,0.535210848
0,0.149098621,0.139503598
0,0.187674184,0.157491043
0,0.092407496,0.114722572
0,0.260659003,0.171626359
0,0.142161917,0.169730768
0,0.070922806,0.079926752
0,0.105151099,0.125984251
1,0.259171595,0.235423788
1,0.240235384,0.284923792
1,0.821736702,0.871806979
1,0.085286207,0.08786878
1,0.041057818,0.076921403
0,0.372880115,0.260044366
0,0.013099228,0.040014274
0,0.055858103,0.035624467
0,0.367341057,0.534942448
0,0.131664246,0.176814497
0,0.138487649,0.109362982
0,0.126628198,0.101047494
0,0.014655299,0.028584376
0,0.105051767,0.103794992
